ts1,ts2,ts3,ts4,ts5,ts6,ts7,ts8
1.036,0.073,2.401,0.219,0.781,0.964,3.453,2.599
1,0.073,2.401,0.182,0.708,1.036,3.364,2.672
1,0.109,2.364,0.219,0.708,0.891,3.453,2.453
0.927,0.182,2.292,0.073,0.672,0.745,4.146,2.818
0.964,0.182,2.62,0.255,0.818,0.781,3.401,2.745
0.964,0.073,2.364,0.453,1.109,0.781,3.891,3.854
0.927,0.308,2.599,0.146,1.146,1.292,3.563,2.891
0.927,0.219,2.328,0.146,0.672,0.854,4.328,2.891
0.927,0.49,2.854,0.182,1.364,0.781,4.745,3.109
0.891,0.271,2.417,0.109,0.547,0.854,3.51,2.328
0.964,0.219,2.708,0.271,1.474,0.891,3.51,2.583
0.964,0.219,2.401,0.344,1.51,1,3.563,3.891
0.854,0.308,2.818,0.344,0.854,1,3.692,2.437
0.891,0.219,2.328,0.109,1.437,0.964,3.526,2.781
0.964,0.401,2.292,0.255,1.401,0.891,3.453,2.854
0.927,0.656,3.474,0.219,0.708,0.583,3.453,3.109
4.781,0.073,2.328,0.146,0.854,1,3.453,2.526
4,0.073,2.344,0.417,0.745,0.781,3.401,2.437
0.927,0.563,2.328,0.109,0.672,0.927,3.927,2.364
0.927,0.036,2.417,0.146,1.344,0.927,3.62,2.401
1.636,0.146,2.364,0.255,1.599,0.781,3.526,2.328
0.964,0.547,2.745,0.109,1.599,0.781,3.437,3.073
0.891,0.073,2.38,0.073,1.292,0.927,3.62,3.672
0.927,0.292,2.417,0.146,1.364,0.927,3.49,2.292
0.927,0.109,2.255,0.109,1.292,0.781,3.328,2.364
1.328,0.073,2.636,0.109,0.781,0.708,3.328,2.328
0.964,0.401,2.292,0.255,1.401,0.891,3.453,2.854